Id,timestep,cb,co,ram,iva,f@mcp,ram@mcp,ALBE,ALDE,AT,BE,CZ,DE,FR,HR,HU,NL,PL,RO,SI,SK
52775933,2022/09/17 22:00:00,Grossgartach - Kupferzell ws OPPOSITE,Grafenrheinfeld - Hoepfingen ge (411) Grafenrheinfeld - Hoepfingen ge,411.0,0.0,268.29122499999994,142.70877500000006,-0.05563,-0.04423,-0.02615,-0.05932,0.02307,-0.03581,-0.08392,-0.00986,0.00429,-0.04393,0.02281,0.0005,-0.01649,0.01064
52776006,2022/09/17 22:00:00,Buers - Meiningen gn (406A) DIRECT,Walgau - Werben 405B,459.0,0.0,210.36759100000003,248.63240899999997,-0.03905,-0.03147,0.04349,-0.04124,0.00054,-0.0036,-0.06007,-0.00311,0.00206,-0.0336,-0.00387,0.00024,-0.00597,0.00149
52776370,2022/09/17 22:00:00,Urberach - Grosskrotzenburg UMAIN N2 OPPOSITE,Dettingen - Grosskrotzenburg UMAIN S1 Dettingen - Grosskrotzenburg UMAIN S1,514.0,0.0,403.6103799999999,110.3896200000001,-0.05754,-0.04738,-0.02291,-0.06173,0.01929,-0.0079,-0.08402,-0.00878,0.00368,-0.04026,0.02327,0.00043,-0.0146,0.0096
52776822,2022/09/17 22:00:00,Buerstadt - Lambsheim BUERST W DIRECT,Y-Niederstedem (-Dahlem - Oberzier) SELHN W Y-Oberzier (-Dahlem - Niederstedem) SELHN W,1044.0,0.0,694.662106,349.337894,-0.0507,0.01766,-0.01347,-0.06814,0.02066,0.0056,-0.14085,-0.01085,0.00478,-0.0022,0.02532,0.00056,-0.01828,0.01118
52779749,2022/09/17 22:00:00,Ensdorf - Vigy VIGY2 S OPPOSITE,Ensdorf - Vigy VIGY1 N Ensdorf - Vigy VIGY1 N,1499.0,0.0,-917.03014,2416.03014,0.07143,-0.06242,0.00564,0.10107,-0.01586,-0.0214,0.19004,0.00858,-0.00386,-0.00022,-0.01878,-0.00045,0.01453,-0.00867
52780001,2022/09/17 22:00:00,Maasbracht - Oberzier 380 white DIRECT,Maasbracht - Siersdorf 380 black Maasbracht - Siersdorf 380 black,1118.0,0.0,143.72333400000002,974.276666,0.2982,-0.17478,-0.00032,0.25336,-0.00449,0.00063,0.08241,0.00232,-0.00111,0.28593,-0.00384,-0.00013,0.00399,-0.00226
52780847,2022/09/17 22:00:00,Daxlanden - Weingarten GERMHM S OPPOSITE,Hoheneck - Pulverdingen ws Hoheneck - Pulverdingen HO PU WS,691.0,0.0,120.71585999999999,570.28414,0.06645,0.09577,-0.01463,0.05898,0.01443,0.00011,-0.00891,-0.0078,0.00329,0.0799,0.02089,0.00039,-0.01303,0.00823
52781615,2022/09/17 22:00:00,PST Gronau TR 441 E OPPOSITE,Gronau - Kusenhorst HAMALD,618.0,0.0,328.21770499999997,289.78229500000003,-0.10354,-0.0635,-0.00914,-0.1028,0.00716,0.0114,-0.05852,-0.00412,0.00159,-0.1792,0.01372,0.00019,-0.00677,0.00453
52783796,2022/09/17 22:00:00,Y-Oberzier (-Paffendorf - Sechtem) SECHTM S DIRECT,Y-Oberzier (-Paffendorf - Sechtem) SECHTM N Y-Paffendorf (-Oberzier - Sechtem) SECHTM N Y-Sechtem (-Oberzier - Paffendorf) SECHTM N,1947.0,0.0,-803.3887470000002,2750.388747,0.24697,0.47543,0.00933,0.22158,-0.01282,-0.01875,0.12859,0.0067,-0.00288,0.20238,-0.01694,-0.00034,0.01123,-0.00702
52785134,2022/09/17 22:00:00,Hradec - Rohrsdorf 446 OPPOSITE,Hradec - Rohrsdorf - V445  Hradec - Rohrsdorf 445,886.0,0.0,-77.41465999999969,963.4146599999997,0.1803,0.18467,0.05421,0.17883,-0.14249,0.18714,0.16598,0.01235,-0.00898,0.18478,0.06852,-0.00095,0.02245,-0.01578
52785154,2022/09/17 22:00:00,Mecklar - Eisenach 450  OPPOSITE,Mecklar - Vieselbach 449  Mecklar - Vieselbach 449,556.0,0.0,218.2534009999999,337.74659900000006,-0.12127,-0.12975,-0.02531,-0.11903,0.02395,-0.05895,-0.10238,-0.00937,0.00388,-0.12628,0.02445,0.00046,-0.01552,0.01058
52785228,2022/09/17 22:00:00,Bertikow - Neuenhagen 304-303 DIRECT,Pasewalk - Vierraden 306,161.0,0.0,38.764853000000016,122.23514699999998,0.04301,0.044,0.01914,0.04259,0.00849,0.04142,0.03909,0.00653,-0.00125,0.04458,-0.05043,-0.00018,0.00998,-0.0072
52785338,2022/09/17 22:00:00,Dresden/Sued - Schmoelln 555 OPPOSITE,Dresden/Sued - Schmoelln 556,524.0,0.0,-132.623635,656.623635,-0.01619,-0.01556,-0.02127,-0.01659,-0.04731,-0.02943,-0.01943,-0.00791,9e-05,-0.01429,0.09612,0.0001,-0.01126,0.00919
52785474,2022/09/17 22:00:00,L 400kV N0 1 AVELIN-MASTAING DIRECT,L 400kV N0 2 AVELIN - MASTAING,974.0,0.0,-1105.659894,2079.659894,-0.07456,-0.03901,0.00232,-0.09451,-0.00727,-0.01427,0.16213,0.00399,-0.00176,-0.0609,-0.0093,-0.00021,0.00674,-0.00407
